category,question,options,correct
القرآن,"لماذا قال الله تعالى في التوراة والإنجيل ""وأنزل"" وفي القرآن ""نزَّل""؟","'لأن التوراة والإنجيل نزلتا تدريجياً والقرآن نزل جملة واحدة','لأن القرآن أفضل من الكتب السابقة','لأن التوراة والإنجيل أنزلتا جملة واحدة والقرآن نزل مفصلاً','لأن القرآن نزل في زمن متأخر عن الكتب السابقة'",لأن التوراة والإنجيل أنزلتا جملة واحدة والقرآن نزل مفصلاً
القرآن,ما الحكمة من إنزال المتشابه في القرآن الكريم؟,"'لإظهار فضل العلماء وزيادة حرصهم على الاجتهاد والتدبر','لجعل القرآن صعب الفهم على الناس','لاختبار إيمان المؤمنين فقط','لإثبات عجز البشر عن فهم كلام الله'",لإظهار فضل العلماء وزيادة حرصهم على الاجتهاد والتدبر
القرآن,"لماذا خُصَّت الشهوات بالمذكورات في آية ""زُيِّنَ لِلنَّاسِ حُبُّ ٱلشَّهَوَٰتِ""؟","'لأنها أكثر الأشياء انتشاراً في العالم','لأنها محرمة جميعاً على المؤمنين','لأنها أعظم شهوات الدنيا وغيرها تبع لها','لأنها أول ما خلقه الله تعالى في الأرض'",لأنها أعظم شهوات الدنيا وغيرها تبع لها
القرآن,بِمَ تختم أكثر العبادات حسب ما ورد في تفسير آية المستغفرين بالأسحار؟,"'بالدعاء','بالاستغفار','بالتسبيح','بالحمد'",بالاستغفار
القرآن,ما السبب الذي بينته الآية لاختلاف الذين أوتوا الكتاب؟,"'الجهل بالدين','قلة العلم والمعرفة','البغي والحسد','ضعف الإيمان'",البغي والحسد
القرآن,ماذا يترتب على اعتقاد المتكبرين أن النار لن تمسهم إلا أياماً معدودات؟,"'زيادة الخوف من الله','انعدام الاكتراث باتباع الحق والجرأة على الإعراض','زيادة التوبة والاستغفار','الاهتمام بالعبادة أكثر'",انعدام الاكتراث باتباع الحق والجرأة على الإعراض
القرآن,"إذا تبين لك علم الله بما في قلبك، فما الحالة التي يجب أن تكون عليها؟","'الخوف الشديد من الله فقط','الحياء من الله وشغل الأفكار فيما يقرب إلى الله','عدم التفكير في أي شيء','الانشغال بالدنيا وملذاتها'",الحياء من الله وشغل الأفكار فيما يقرب إلى الله
القرآن,ما أعظم الشكر لرزق الله سبحانه وتعالى؟,"'كثرة الحمد والثناء','الإنفاق في سبيل الله','معرفة العبد بأنه من الله تعالى','الصيام والقيام'",معرفة العبد بأنه من الله تعالى
القرآن,لماذا جاء الطلب بلفظ الهبة في دعاء زكريا عليه السلام؟,"'لأن الهبة أفضل من الطلب العادي','لأن الهبة إحسان محض ليس في مقابلة شيء ويناسب حالة زكريا وزوجته','لأنه تعلم هذا الدعاء من الأنبياء قبله','لأن الله أمره أن يدعو بهذا اللفظ'",لأن الهبة إحسان محض ليس في مقابلة شيء ويناسب حالة زكريا وزوجته
القرآن,لم خص الله تعالى عيسى عليه السلام بمعجزة إبراء الأكمه والأبرص؟,"'لأنها أقوى المعجزات على الإطلاق','لأن هذين داءان عياءان وكان الغالب في زمنه الطب','لأنه طلب من الله هذه المعجزة تحديداً','لأن قومه كانوا مصابين بهذين المرضين'",لأن هذين داءان عياءان وكان الغالب في زمنه الطب
القرآن,"اتصفت شريعة اليهود بصفة معينة حسب ما ورد في تفسير الآية، فما هي؟","'السهولة واليسر','الآصار والأغلال من التحريمات','قلة الأحكام والقوانين','الحرية الكاملة'",الآصار والأغلال من التحريمات
